request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_60,131.45,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 199.89 request. Although USD 131.45 is available today, the full amount cannot be completed safely within 90 days."
request_61,22439.79,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-05-24. None of the available options keeps the ZAR 36,700 minimum protected."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Pay USD 404.23 today. This leaves at least USD 1,300 available over the next 90 days."
request_63,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-09-17. None of the available options keeps the INR 153,500 minimum protected."
request_64,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-08-16. None of the available options keeps the INR 36,100 minimum protected."
request_65,5023.82,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 54,340 request. Although ZAR 5,023.82 is available today, the full amount cannot be completed safely within 90 days."
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"Pay INR 22,200 today. This leaves at least INR 80,700 available over the next 90 days."
request_67,302.26,affordable_later,wait,2024-10-15:2094,2024-10-15,none,"Pay USD 2,094 in full on 2024-10-15. Paying earlier would take the balance below the USD 1,200 minimum."
request_68,1447.65,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-02-15,none,"Use 3 installments of USD 725.09, starting 2025-02-14. This leaves at least USD 1,500 available."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,Pay EUR 529.10 today. This leaves at least EUR 700 available over the next 90 days.
request_70,39994.4,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-02-15. None of the available options keeps the INR 115,000 minimum protected."
request_71,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-05-28. None of the available options keeps the IDR 8,884,800 minimum protected."
request_72,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-07-14. None of the available options keeps the ZAR 12,200 minimum protected."
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,"Pay INR 71,400 today. This leaves at least INR 103,200 available over the next 90 days."
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"Pay ZAR 5,010 today. This leaves at least ZAR 21,900 available over the next 90 days."
request_75,12969.76,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-06-12. None of the available options keeps the ZAR 39,000 minimum protected."
request_76,1367.31,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-07-30. None of the available options keeps the USD 1,800 minimum protected."
request_77,59872.83,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-11-14. None of the available options keeps the INR 82,200 minimum protected."
request_78,45860.99,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-10-14. None of the available options keeps the INR 55,200 minimum protected."
request_79,312.96,affordable_with_plan,partial_payment,2024-09-04:312.96|2024-10-15:1838.64,2024-10-15,none,"Pay EUR 312.96 today and the remaining EUR 1,838.64 on 2024-10-15. This completes the full request and keeps the EUR 1,000 minimum protected."
request_80,152115,affordable_later,wait,2025-02-14:217500,2025-02-14,none,"Pay INR 217,500 in full on 2025-02-14. Paying earlier would take the balance below the INR 121,300 minimum."
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,"Pay USD 2,076 today. This leaves at least USD 1,600 available over the next 90 days."
request_82,310.47,affordable_later,wait,2025-02-15:1405.20,2025-02-15,none,"Pay USD 1,405.20 in full on 2025-02-15. Paying earlier would take the balance below the USD 1,100 minimum."
request_83,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-06-17. None of the available options keeps the INR 37,800 minimum protected."
request_84,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-06-15. None of the available options keeps the INR 91,300 minimum protected."
request_85,367767.97,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-04-26. None of the available options keeps the IDR 6,396,300 minimum protected."
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,"Pay INR 46,300 today. This leaves at least INR 84,900 available over the next 90 days."
request_87,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-03-15. None of the available options keeps the INR 185,900 minimum protected."
request_88,8558.96,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-08-25. None of the available options keeps the ZAR 25,800 minimum protected."
request_89,9324615.66,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-15. None of the available options keeps the IDR 12,534,700 minimum protected."
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"Pay ZAR 2,560 today. This leaves at least ZAR 7,600 available over the next 90 days."
request_91,457.61,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-11-15. None of the available options keeps the EUR 2,100 minimum protected."
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,"Pay ZAR 34,034 today. This leaves at least ZAR 28,100 available over the next 90 days."
request_93,1672.6,affordable_with_plan,full_payment,2026-04-07:1729.20,2026-04-12,stop:event_8691,"Stop the video streaming plan, then pay USD 1,729.20 today. This leaves at least USD 1,900 available."
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572 today. This leaves at least EUR 600 available over the next 90 days.
request_95,34600.66,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-07-14. None of the available options keeps the INR 145,500 minimum protected."
request_96,72506.46,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-03-12. None of the available options keeps the INR 56,500 minimum protected."
request_97,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-05-24. None of the available options keeps the ZAR 29,700 minimum protected."
request_98,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-10-15. None of the available options keeps the ZAR 30,000 minimum protected."
request_99,17497.76,affordable_with_plan,full_payment,2026-07-04:18062,2026-07-08,stop:event_9188,"Stop the family streaming plan, then pay ZAR 18,062 today. This leaves at least ZAR 49,100 available."
request_100,25122.03,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-08-16. None of the available options keeps the ZAR 32,500 minimum protected."
request_101,141819.08,affordable_with_plan,full_payment,2025-11-03:143500,2025-11-06,stop:event_9378,"Stop the online backup subscription, then pay INR 143,500 today. This leaves at least INR 187,400 available."
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 2026-04-05. This leaves at least EUR 900 available."
request_103,1861.95,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-10-07. None of the available options keeps the INR 125,500 minimum protected."
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,"Pay ZAR 17,204 today. This leaves at least ZAR 24,700 available over the next 90 days."
request_105,53500,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,"Pay INR 53,500 today. This leaves at least INR 73,900 available over the next 90 days."
request_106,359.15,affordable_later,wait,2025-02-15:2207.70,2025-02-15,none,"Pay EUR 2,207.70 in full on 2025-02-15. Paying earlier would take the balance below the EUR 1,200 minimum."
request_107,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-07-04. None of the available options keeps the EUR 1,600 minimum protected."
request_108,7836.4,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-07-26. None of the available options keeps the ZAR 24,100 minimum protected."
request_109,520.62,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-04-15,none,"Use 3 installments of EUR 645.98, starting 2024-03-18. This leaves at least EUR 1,700 available."
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7,748.69, starting 2025-08-06. This leaves at least ZAR 11,200 available."
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,"Pay IDR 16,625,000 today. This leaves at least IDR 23,022,800 available over the next 90 days."
request_112,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-06-14. None of the available options keeps the EUR 500 minimum protected.
request_113,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-10-19. None of the available options keeps the INR 82,300 minimum protected."
request_114,58979.92,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-14. None of the available options keeps the INR 113,400 minimum protected."
request_115,11752.74,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-11-15. None of the available options keeps the INR 38,800 minimum protected."
request_116,9538.59,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-04-16. None of the available options keeps the INR 80,300 minimum protected."
request_117,857.36,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-07-14. None of the available options keeps the EUR 1,000 minimum protected."
request_118,649.91,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-02-08. None of the available options keeps the EUR 600 minimum protected.
request_119,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-07-17. None of the available options keeps the INR 151,200 minimum protected."
request_120,7097417.69,affordable_with_plan,full_payment,2026-04-06:7714000,2026-04-11,stop:event_11086,"Stop the video streaming plan, then pay IDR 7,714,000 today. This leaves at least IDR 20,050,300 available."
request_121,633.6,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,Pay USD 633.60 today. This leaves at least USD 800 available over the next 90 days.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7,126,773.33, starting 2025-08-05. This leaves at least IDR 12,588,500 available."
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,"Pay IDR 4,076,000 today. This leaves at least IDR 18,091,200 available over the next 90 days."
request_124,1253.98,affordable_later,wait,2024-08-15:3104.20,2024-08-15,none,"Pay EUR 3,104.20 in full on 2024-08-15. Paying earlier would take the balance below the EUR 1,600 minimum."
request_125,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-11-14. None of the available options keeps the ZAR 11,300 minimum protected."
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,"Pay INR 159,600 today. This leaves at least INR 129,700 available over the next 90 days."
request_127,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-10-18. None of the available options keeps the ZAR 41,000 minimum protected."
request_128,24689.31,affordable_with_plan,full_payment,2025-02-07:25168,2025-02-09,reduce_to:event_11812:1058.20,"Reduce the cinema and events to ZAR 1,058.20, then pay ZAR 25,168 today. This leaves at least ZAR 42,600 available."
request_129,55.46,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-06-18. None of the available options keeps the USD 800 minimum protected.
request_130,364.72,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-02-15. None of the available options keeps the USD 1,400 minimum protected."
request_131,1355.1,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-05-10,none,"Use 3 installments of USD 643.14, starting 2025-05-06. This leaves at least USD 1,100 available."
request_132,291.48,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 379.86 request. Although USD 291.48 is available today, the full amount cannot be completed safely within 90 days."
request_133,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-03-29. None of the available options keeps the IDR 9,986,200 minimum protected."
request_134,4451971.38,affordable_later,wait,2025-10-15:21831000,2025-10-15,none,"Pay IDR 21,831,000 in full on 2025-10-15. Paying earlier would take the balance below the IDR 15,902,500 minimum."
request_135,304.8,affordable_now,full_payment,2026-07-06:304.80,2026-07-06,none,Pay USD 304.80 today. This leaves at least USD 500 available over the next 90 days.
request_136,529.36,affordable_with_plan,partial_payment,2024-06-03:529.36|2024-06-03:31.04,2024-06-03,none,"Pay USD 529.36 today and the remaining USD 31.04 on 2024-06-03. This completes the full request and keeps the USD 1,100 minimum protected."
request_137,26148.15,affordable_later,wait,2026-01-15:80100,2026-01-15,none,"Pay INR 80,100 in full on 2026-01-15. Paying earlier would take the balance below the INR 71,800 minimum."
request_138,802.79,affordable_with_plan,installments,2026-04-07:435.74|2026-05-05:435.74|2026-06-02:435.74,2026-04-15,none,"Use 3 installments of EUR 435.74, starting 2026-04-07. This leaves at least EUR 2,300 available."
request_139,1330.41,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-11-17. None of the available options keeps the USD 1,500 minimum protected."
request_140,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-03-04. None of the available options keeps the ZAR 21,600 minimum protected."
request_141,20825.7,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 171,600 request. Although INR 20,825.70 is available today, the full amount cannot be completed safely within 90 days."
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,"Pay USD 1,263.60 today. This leaves at least USD 1,700 available over the next 90 days."
request_143,2465.23,affordable_later,wait,2025-07-15:12584,2025-07-15,none,"Pay ZAR 12,584 in full on 2025-07-15. Paying earlier would take the balance below the ZAR 11,300 minimum."
request_144,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-07-26. None of the available options keeps the USD 600 minimum protected.
request_145,28335.57,affordable_later,wait,2024-05-15:217400,2024-05-15,none,"Pay INR 217,400 in full on 2024-05-15. Paying earlier would take the balance below the INR 155,400 minimum."
request_146,8926.94,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 449,400 request. Although INR 8,926.94 is available today, the full amount cannot be completed safely within 90 days."
request_147,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-06-07. None of the available options keeps the EUR 900 minimum protected.
request_148,7120.38,affordable_later,wait,2024-08-15:22242,2024-08-15,none,"Pay ZAR 22,242 in full on 2024-08-15. Paying earlier would take the balance below the ZAR 20,000 minimum."
request_149,22537.15,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-11-13,none,"Use 3 installments of ZAR 12,706.03, starting 2025-11-18. This leaves at least ZAR 42,100 available."
request_150,275.4,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-01-15,none,"Use 3 installments of EUR 171.98, starting 2026-01-06. This leaves at least EUR 700 available."
request_151,26789693.98,affordable_with_plan,full_payment,2024-09-03:26999000,2024-09-07,reduce_to:event_13923:633650,"Reduce the coffee shop to IDR 633,650, then pay IDR 26,999,000 today. This leaves at least IDR 31,633,600 available."
request_152,11114.63,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-04-13. None of the available options keeps the ZAR 11,900 minimum protected."
request_153,8.58,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-09-24. None of the available options keeps the USD 1,400 minimum protected."
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"Use 3 installments of EUR 563.61, starting 2024-12-04. This leaves at least EUR 1,300 available."
request_155,12528.98,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-05-20. None of the available options keeps the INR 56,300 minimum protected."
request_156,6215,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-06-15. None of the available options keeps the ZAR 26,900 minimum protected."
request_157,4753445.21,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 23,503,000 request. Although IDR 4,753,445.21 is available today, the full amount cannot be completed safely within 90 days."
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84,101.33, starting 2025-08-07. This leaves at least INR 131,400 available."
request_159,13398,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,"Pay ZAR 13,398 today. This leaves at least ZAR 8,700 available over the next 90 days."
request_160,473.69,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-06-15,none,"Use 3 installments of EUR 432.05, starting 2024-06-13. This leaves at least EUR 1,200 available."
request_161,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-15. None of the available options keeps the IDR 23,010,400 minimum protected."
request_162,1123678.77,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-08-26. None of the available options keeps the IDR 24,161,100 minimum protected."
request_163,8739824.67,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-11-15. None of the available options keeps the IDR 26,728,700 minimum protected."
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"Use 3 installments of IDR 9,366,240, starting 2025-02-11. This leaves at least IDR 29,550,500 available."
request_165,66540.15,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 80,600 request. Although INR 66,540.15 is available today, the full amount cannot be completed safely within 90 days."
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1,007.97, starting 2024-12-03. This leaves at least USD 1,700 available."
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,"Pay ZAR 43,802 today. This leaves at least ZAR 31,200 available over the next 90 days."
request_168,30941.35,affordable_with_plan,installments,2026-01-14:17118.40|2026-02-13:17118.40|2026-03-15:17118.40,2026-01-15,none,"Use 3 installments of INR 17,118.40, starting 2026-01-14. This leaves at least INR 114,400 available."
request_169,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-05-16. None of the available options keeps the ZAR 18,700 minimum protected."
request_170,30061352.59,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-08-13,none,"Use 3 installments of IDR 12,804,480, starting 2025-08-06. This leaves at least IDR 24,715,800 available."
request_171,33.69,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-09-10. None of the available options keeps the EUR 500 minimum protected.
request_172,9130.37,affordable_with_plan,installments,2024-06-05:5304|2024-07-03:5304,2024-06-09,none,"Use 2 installments of ZAR 5,304, starting 2024-06-05. This leaves at least ZAR 27,200 available."
request_173,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-17. None of the available options keeps the INR 79,100 minimum protected."
request_174,1071.89,affordable_with_plan,full_payment,2026-04-04:1146.20,2026-04-11,reduce_to:event_15976:16.80,"Reduce the household shopping to EUR 16.80, then pay EUR 1,146.20 today. This leaves at least EUR 700 available."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,"Pay EUR 2,346.30 today. This leaves at least EUR 1,700 available over the next 90 days."
request_176,630.93,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-02-27. None of the available options keeps the EUR 600 minimum protected.
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,none,"Pay USD 1,017.60 today. This leaves at least USD 1,300 available over the next 90 days."
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use 3 installments of EUR 1,018.54, starting 2024-12-07. This leaves at least EUR 1,400 available."
request_179,6506134.09,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-07-15. None of the available options keeps the IDR 41,430,800 minimum protected."
request_180,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-09-02. None of the available options keeps the INR 37,300 minimum protected."
request_181,407.54,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-04-07. None of the available options keeps the USD 2,000 minimum protected."
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,"Pay ZAR 65,714 today. This leaves at least ZAR 31,100 available over the next 90 days."
request_183,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-06-18. None of the available options keeps the IDR 11,878,300 minimum protected."
request_184,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-07-30. None of the available options keeps the INR 110,800 minimum protected."
request_185,310.36,affordable_later,wait,2026-01-15:1257.30,2026-01-15,none,"Pay EUR 1,257.30 in full on 2026-01-15. Paying earlier would take the balance below the EUR 1,300 minimum."
request_186,4795.54,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-03-15. None of the available options keeps the ZAR 22,000 minimum protected."
request_187,27456.7,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 187,500 request. Although INR 27,456.70 is available today, the full amount cannot be completed safely within 90 days."
request_188,107.67,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-03-04. None of the available options keeps the EUR 900 minimum protected.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.40,2026-07-04,none,Pay EUR 488.40 today. This leaves at least EUR 400 available over the next 90 days.
request_190,467.31,affordable_later,wait,2025-02-15:2557.50,2025-02-15,none,"Pay EUR 2,557.50 in full on 2025-02-15. Paying earlier would take the balance below the EUR 1,600 minimum."
request_191,664.4,affordable_now,full_payment,2025-05-03:664.40,2025-05-03,none,Pay EUR 664.40 today. This leaves at least EUR 500 available over the next 90 days.
request_192,309.31,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-05-11. None of the available options keeps the USD 1,000 minimum protected."
request_193,31.02,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-03-15,none,"Use 3 installments of EUR 420.23, starting 2024-03-21. This leaves at least EUR 1,000 available."
request_194,39203.33,affordable_later,wait,2025-10-15:132800,2025-10-15,none,"Pay INR 132,800 in full on 2025-10-15. Paying earlier would take the balance below the INR 113,600 minimum."
request_195,1040,affordable_with_plan,installments,2026-01-09:405.74|2026-02-08:405.74|2026-03-10:405.74,2026-01-10,none,"Use 3 installments of EUR 405.74, starting 2026-01-09. This leaves at least EUR 700 available."
request_196,762.3,affordable_now,full_payment,2024-06-03:762.30,2024-06-03,none,Pay EUR 762.30 today. This leaves at least EUR 500 available over the next 90 days.
request_197,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-21. None of the available options keeps the IDR 26,245,900 minimum protected."
request_198,185800,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,"Pay INR 185,800 today. This leaves at least INR 124,300 available over the next 90 days."
request_199,23674000,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,"Use 3 installments of IDR 8,206,986.67, starting 2024-09-07. This leaves at least IDR 25,359,500 available."
request_200,21717000,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,"Pay IDR 21,717,000 today. This leaves at least IDR 20,114,600 available over the next 90 days."
